id,zap_id,url,type,price,min_price,max_price,min_area,max_area,address,district,city,state,created_at,updated_at,quant_quartos,quant_vagas,quant_suites,latitude,longitude,latitude_formatada,longitude_formatada
220534,12210992,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+152m2+RS1750000/ID-12210992/?paginaoferta=37781,Apartamento,1750000.00,0.00,0.00,152,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 11:10:43","2016-12-11 11:10:43",3,3,1,-23.6013493,-46.6700135,0.62440298519,0.33772915555
220743,11063370,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+60m2+RS650000/ID-11063370/?paginaoferta=37821,Apartamento,650000.00,0.00,0.00,60,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 11:11:45","2016-12-11 11:11:45",2,1,0,-23.6013493,-46.6700135,0.62440298519,0.33772915555
222330,9261667,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+177m2+RS2200000/ID-9261667/?paginaoferta=38091,Apartamento,2200000.00,0.00,0.00,177,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 11:19:17","2016-12-11 11:19:17",4,4,2,-23.6013493,-46.6700135,0.62440298519,0.33772915555
24557,10900625,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+220m2+RS2300000/ID-10900625/?paginaoferta=3889,Apartamento,2300000.00,0.00,0.00,220,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-10 19:03:03","2016-12-10 19:03:03",4,3,3,-23.6007831,-46.6650172,0.62527190052,0.34858054304
42059,10443214,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+140m2+RS1450000/ID-10443214/?paginaoferta=6906,Apartamento,1450000.00,0.00,0.00,140,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-10 20:18:37","2016-12-10 20:18:37",2,2,1,-23.6007831,-46.6650172,0.62527190052,0.34858054304
47052,11471063,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+140m2+RS1450000/ID-11471063/?paginaoferta=7767,Apartamento,1450000.00,0.00,0.00,140,0,"Avenida Sabia",MOEMA,"Sao Paulo",SP,"2016-12-10 20:42:39","2016-12-10 20:42:39",3,2,1,-23.6007831,-46.6650172,0.62527190052,0.34858054304
75419,9133075,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+367m2+RS6900000/ID-9133075/?paginaoferta=12671,Apartamento,6900000.00,0.00,0.00,367,0,"Avenida Sabia",MOEMA,"Sao Paulo",SP,"2016-12-10 23:09:15","2016-12-10 23:09:15",4,5,4,-23.6007831,-46.6650172,0.62527190052,0.34858054304
81267,7454107,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+209m2+RS2500000/ID-7454107/?paginaoferta=13678,Apartamento,2500000.00,0.00,0.00,209,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-10 23:41:25","2016-12-10 23:41:25",4,3,3,-23.6007831,-46.6650172,0.62527190052,0.34858054304
86577,7040898,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+214m2+RS2500000/ID-7040898/?paginaoferta=14597,Apartamento,2500000.00,0.00,0.00,214,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 00:10:18","2016-12-11 00:10:18",3,3,3,-23.6007831,-46.6650172,0.62527190052,0.34858054304
89811,9394632,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+367m2+RS7000000/ID-9394632/?paginaoferta=15154,Apartamento,7000000.00,0.00,0.00,367,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 00:28:02","2016-12-11 00:28:02",4,5,4,-23.6007831,-46.6650172,0.62527190052,0.34858054304
90733,11058734,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+80m2+RS900000/ID-11058734/?paginaoferta=15317,Apartamento,900000.00,0.00,0.00,80,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 00:33:07","2016-12-11 00:33:07",3,0,1,-23.6007831,-46.6650172,0.62527190052,0.34858054304
92229,4865539,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+128m2+RS1350000/ID-4865539/?paginaoferta=15572,Apartamento,1350000.00,0.00,0.00,128,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 00:41:23","2016-12-11 00:41:23",3,2,1,-23.6007831,-46.6650172,0.62527190052,0.34858054304
101153,10359438,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+367m2+RS6900000/ID-10359438/?paginaoferta=17117,Apartamento,6900000.00,0.00,0.00,367,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 01:31:27","2016-12-11 01:31:27",4,5,4,-23.6007831,-46.6650172,0.62527190052,0.34858054304
107297,10951110,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+165m2+RS2600000/ID-10951110/?paginaoferta=18179,Apartamento,2600000.00,0.00,0.00,165,0,"Avenida Sabia",MOEMA,"Sao Paulo",SP,"2016-12-11 02:06:26","2016-12-11 02:06:26",3,4,3,-23.6007831,-46.6650172,0.62527190052,0.34858054304
126625,10258491,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+310m2+RS5700000/ID-10258491/?paginaoferta=21555,Apartamento,5700000.00,0.00,0.00,310,0,"Avenida Sabiá",MOEMA,"Sao Paulo",SP,"2016-12-11 03:51:47","2016-12-11 03:51:47",4,6,4,-23.6007831,-46.6650172,0.62527190052,0.34858054304
